Record Length,10000,Points,-255.19999862E-3,15.6579688E-3,,Record Length,10000,Points,-255.19999862E-3,-1.3287497E-3,
Sample Interval,39.99999899E-6,s,-255.16000390E-3,15.6806260E-3,,Sample Interval,39.99999899E-6,s,-255.16000390E-3,-1.3696873E-3,
Trigger Point,6.38000043E3,Samples,-255.12000918E-3,15.6654697E-3,,Trigger Point,6.38000043E3,Samples,-255.12000918E-3,-1.3996873E-3,
,,,-255.07998466E-3,15.6178130E-3,,,,,-255.07998466E-3,-1.4137498E-3,
,,,-255.03998995E-3,15.5950012E-3,,,,,-255.03998995E-3,-1.4512497E-3,
,,,-254.99999523E-3,15.5884381E-3,,,,,-254.99999523E-3,-1.4746872E-3,
Source,CH1,,-254.96000051E-3,15.5328130E-3,,Source,CH2,,-254.96000051E-3,-1.4690623E-3,
Vertical Units,V,,-254.92000580E-3,15.4996887E-3,,Vertical Units,V,,-254.92000580E-3,-1.4587498E-3,
Vertical Scale,1.0239062E-3,,-254.88001108E-3,15.4726570E-3,,Vertical Scale,2.0478124E-3,,-254.88001108E-3,-1.4596872E-3,
Vertical Offset,0.01258,,-254.83998656E-3,15.4846879E-3,,Vertical Offset,0.00326,,-254.83998656E-3,-1.4581247E-3,
Horizontal Units,s,,-254.79999185E-3,15.4276574E-3,,Horizontal Units,s,,-254.79999185E-3,-1.4312498E-3,
Horizontal Scale,39.99999899E-3,,-254.75999713E-3,15.4357823E-3,,Horizontal Scale,39.99999899E-3,,-254.75999713E-3,-1.3940622E-3,
Pt Fmt,Y,,-254.72000241E-3,15.3907817E-3,,Pt Fmt,Y,,-254.72000241E-3,-1.3765623E-3,
Yzero,-1.3477796,,-254.68000770E-3,15.3685948E-3,,Yzero,1.4454448,,-254.68000770E-3,-1.3540622E-3,
Probe Atten,1.000000,,-254.64001298E-3,15.3148444E-3,,Probe Atten,1.000000,,-254.64001298E-3,-1.3053123E-3,
,,,-254.59998846E-3,15.2765634E-3,,,,,-254.59998846E-3,-1.2484372E-3,
Note,DPO3032 - 15:15:54   08/03/2024,,-254.55999374E-3,15.2314072E-3,,Note,DPO3032 - 15:15:54   08/03/2024,,-254.55999374E-3,-1.2259373E-3,
,,,-254.51999903E-3,15.2289066E-3,,,,,-254.51999903E-3,-1.1799998E-3,
,,,-254.48000431E-3,15.1706254E-3,,,,,-254.48000431E-3,-1.1237498E-3,
,,,-254.44000959E-3,15.1417190E-3,,,,,-254.44000959E-3,-1.0665623E-3,
,,,-254.39998507E-3,15.0632821E-3,,,,,-254.39998507E-3,-998.749746941E-6,
,,,-254.35999036E-3,15.0942197E-3,,,,,-254.35999036E-3,-932.812225074E-6,
,,,-254.31999564E-3,14.9959382E-3,,,,,-254.31999564E-3,-861.562264618E-6,
,,,-254.28000093E-3,14.9531262E-3,,,,,-254.28000093E-3,-789.687270299E-6,
,,,-254.24000621E-3,14.8731256E-3,,,,,-254.24000621E-3,-712.499779183E-6,
,,,-254.20001149E-3,14.8670319E-3,,,,,-254.20001149E-3,-614.687276538E-6,
,,,-254.15998697E-3,14.8273446E-3,,,,,-254.15998697E-3,-544.999784324E-6,
,,,-254.11999226E-3,14.7571880E-3,,,,,-254.11999226E-3,-457.187270513E-6,
,,,-254.07999754E-3,14.7025008E-3,,,,,-254.07999754E-3,-387.81226613E-6,
,,,-254.04000282E-3,14.7062503E-3,,,,,-254.04000282E-3,-300.31226925E-6,
,,,-254.00000811E-3,14.6275004E-3,,,,,-254.00000811E-3,-224.06227072E-6,
,,,-253.96001339E-3,14.5729696E-3,,,,,-253.96001339E-3,-131.5622649E-6,
,,,-253.91998887E-3,14.5510947E-3,,,,,-253.91998887E-3,-40.31227218E-6,
,,,-253.87999415E-3,14.4745316E-3,,,,,-253.87999415E-3,15.9377250E-6,
,,,-253.83999944E-3,14.4234383E-3,,,,,-253.83999944E-3,108.4377218E-6,
,,,-253.80000472E-3,14.4198444E-3,,,,,-253.80000472E-3,177.50021652E-6,
,,,-253.76001000E-3,14.3253133E-3,,,,,-253.76001000E-3,263.12522823E-6,
,,,-253.71998549E-3,14.2993759E-3,,,,,-253.71998549E-3,335.62522731E-6,
,,,-253.67999077E-3,14.2304692E-3,,,,,-253.67999077E-3,397.81272062E-6,
,,,-253.63999605E-3,14.2248441E-3,,,,,-253.63999605E-3,460.937706521E-6,
,,,-253.60000134E-3,14.1096879E-3,,,,,-253.60000134E-3,522.187736351E-6,
,,,-253.56000662E-3,14.0315630E-3,,,,,-253.56000662E-3,574.687728658E-6,
,,,-253.52001190E-3,13.9929699E-3,,,,,-253.52001190E-3,625.000218861E-6,
,,,-253.47998738E-3,13.9640635E-3,,,,,-253.47998738E-3,693.125184625E-6,
,,,-253.43999267E-3,13.8942199E-3,,,,,-253.43999267E-3,757.812696975E-6,
,,,-253.39999795E-3,13.8200009E-3,,,,,-253.39999795E-3,793.750223238E-6,
,,,-253.36000323E-3,13.7823448E-3,,,,,-253.36000323E-3,842.187728267E-6,
,,,-253.32000852E-3,13.7356259E-3,,,,,-253.32000852E-3,891.250208952E-6,
,,,-253.27998400E-3,13.6687504E-3,,,,,-253.27998400E-3,920.937687624E-6,
,,,-253.23998928E-3,13.6132818E-3,,,,,-253.23998928E-3,961.875193752E-6,
,,,-253.19999456E-3,13.5614071E-3,,,,,-253.19999456E-3,976.250215899E-6,
,,,-253.15999985E-3,13.4765636E-3,,,,,-253.15999985E-3,1.0137502E-3,
,,,-253.12000513E-3,13.4203136E-3,,,,,-253.12000513E-3,1.0143752E-3,
,,,-253.08001041E-3,13.3164069E-3,,,,,-253.08001041E-3,1.0075002E-3,
,,,-253.03998590E-3,13.2290637E-3,,,,,-253.03998590E-3,1.0156252E-3,
,,,-252.99999118E-3,13.2192196E-3,,,,,-252.99999118E-3,1.0318751E-3,
