Record Length,10000,Points,-36.22800112E-3,134.3550086E-3,,Record Length,10000,Points,-36.22800112E-3,63.343755901E-3,
Sample Interval,3.99999999E-6,s,-36.22400016E-3,134.2987567E-3,,Sample Interval,3.99999999E-6,s,-36.22400016E-3,63.281252980E-3,
Trigger Point,9.057000732E3,Samples,-36.22000292E-3,134.2706382E-3,,Trigger Point,9.057000732E3,Samples,-36.22000292E-3,63.265629113E-3,
,,,-36.21600196E-3,134.3550086E-3,,,,,-36.21600196E-3,63.265629113E-3,
,,,-36.21200100E-3,134.4065666E-3,,,,,-36.21200100E-3,63.367195427E-3,
,,,-36.20800003E-3,134.2846900E-3,,,,,-36.20800003E-3,63.281252980E-3,
Source,CH1,,-36.20400280E-3,134.2987567E-3,,Source,CH2,,-36.20400280E-3,63.328132033E-3,
Vertical Units,V,,-36.20000184E-3,134.3253255E-3,,Vertical Units,V,,-36.20000184E-3,63.265629113E-3,
Vertical Scale,10.2390622E-3,,-36.19600087E-3,134.2362612E-3,,Vertical Scale,51.19531493E-3,,-36.19600087E-3,63.265629113E-3,
Vertical Offset,0.11038,,-36.19199991E-3,134.2034489E-3,,Vertical Offset,0.084,,-36.19199991E-3,63.195317984E-3,
Horizontal Units,s,,-36.18800268E-3,134.1518760E-3,,Horizontal Units,s,,-36.18800268E-3,63.195317984E-3,
Horizontal Scale,3.99999999E-3,,-36.18400171E-3,134.0831369E-3,,Horizontal Scale,3.99999999E-3,,-36.18400171E-3,63.101567328E-3,
Pt Fmt,Y,,-36.18000075E-3,134.1487616E-3,,Pt Fmt,Y,,-36.18000075E-3,63.140630722E-3,
Yzero,39.06607661E-3,,-36.17599979E-3,134.1643780E-3,,Yzero,1.6017091,,-36.17599979E-3,63.242189586E-3,
Probe Atten,1.000000,,-36.17200255E-3,134.1471970E-3,,Probe Atten,1.000000,,-36.17200255E-3,63.125006855E-3,
,,,-36.16800159E-3,134.0956390E-3,,,,,-36.16800159E-3,63.125006855E-3,
Note,DPO3032 - 16:20:34   07/03/2024,,-36.16400063E-3,134.0909451E-3,,Note,DPO3032 - 16:20:34   07/03/2024,,-36.16400063E-3,63.156254590E-3,
,,,-36.15999967E-3,133.9737624E-3,,,,,-36.15999967E-3,63.203133643E-3,
,,,-36.15600243E-3,134.1643780E-3,,,,,-36.15600243E-3,63.062503934E-3,
,,,-36.15200147E-3,134.1956258E-3,,,,,-36.15200147E-3,63.125006855E-3,
,,,-36.14800051E-3,134.2378259E-3,,,,,-36.14800051E-3,63.125006855E-3,
,,,-36.14399955E-3,134.1284513E-3,,,,,-36.14399955E-3,63.164070249E-3,
,,,-36.14000231E-3,134.1081262E-3,,,,,-36.14000231E-3,63.125006855E-3,
,,,-36.13600135E-3,134.1471970E-3,,,,,-36.13600135E-3,63.062503934E-3,
,,,-36.13200039E-3,134.1768801E-3,,,,,-36.13200039E-3,63.062503934E-3,
,,,-36.12799942E-3,134.1425031E-3,,,,,-36.12799942E-3,63.117191195E-3,
,,,-36.12400219E-3,134.1081262E-3,,,,,-36.12400219E-3,63.195317984E-3,
,,,-36.12000123E-3,134.1112554E-3,,,,,-36.12000123E-3,63.054695725E-3,
,,,-36.11600026E-3,134.0956390E-3,,,,,-36.11600026E-3,62.992192805E-3,
,,,-36.11199930E-3,134.0831369E-3,,,,,-36.11199930E-3,63.015632331E-3,
