Record Length,10000,Points,-500.000000000E-3,95.965623856E-3,
Sample Interval,99.999997474E-6,s,-499.900013208E-3,96.006244421E-3,
Trigger Point,5.00000036E3,Samples,-499.799996614E-3,96.006244421E-3,
,,,-499.700009823E-3,95.987498760E-3,
,,,-499.599993229E-3,95.990620553E-3,
,,,-499.500006437E-3,95.934376121E-3,
Source,CH1,,-499.399989843E-3,95.990620553E-3,
Vertical Units,V,,-499.300003052E-3,95.946870744E-3,
Vertical Scale,20.47812448E-3,,-499.199986458E-3,95.965623856E-3,
Vertical Offset,0,,-499.099999666E-3,95.943748951E-3,
Horizontal Units,s,,-499.000012875E-3,95.946870744E-3,
Horizontal Scale,99.999997474E-3,,-498.899996281E-3,95.931246877E-3,
Pt Fmt,Y,,-498.800009489E-3,95.946870744E-3,
Yzero,-4.53166489,,-498.699992895E-3,95.953121781E-3,
Probe Atten,1.000000,,-498.600006104E-3,95.921874046E-3,
,,,-498.499989510E-3,95.921874046E-3,
Note,DPO3032 - 15:30:21   12/02/2024,,-498.400002718E-3,95.903120935E-3,
,,,-498.299986124E-3,95.899999142E-3,
,,,-498.199999332E-3,95.846869051E-3,
,,,-498.100012541E-3,95.884375274E-3,
,,,-497.999995947E-3,95.865622163E-3,
,,,-497.900009155E-3,95.856249332E-3,
,,,-497.799992561E-3,95.887497067E-3,
,,,-497.700005770E-3,95.824994147E-3,
,,,-497.599989176E-3,95.856249332E-3,
,,,-497.500002384E-3,95.806248486E-3,
,,,-497.399985790E-3,95.818750560E-3,
,,,-497.299998999E-3,95.812499523E-3,
,,,-497.200012207E-3,95.778122544E-3,
,,,-497.099995613E-3,95.768749714E-3,
,,,-497.000008821E-3,95.737494528E-3,
,,,-496.899992228E-3,95.778122544E-3,
,,,-496.800005436E-3,95.749996603E-3,
,,,-496.699988842E-3,95.728121698E-3,
,,,-496.600002050E-3,95.718748868E-3,
,,,-496.499985456E-3,95.690622926E-3,
,,,-496.399998665E-3,95.674999058E-3,
,,,-496.300011873E-3,95.665626228E-3,
,,,-496.199995279E-3,95.646873116E-3,
,,,-496.100008488E-3,95.649994910E-3,
,,,-495.999991894E-3,95.649994910E-3,
,,,-495.900005102E-3,95.628120005E-3,
,,,-495.799988508E-3,95.574997365E-3,
,,,-495.700001717E-3,95.603123307E-3,
,,,-495.600014925E-3,95.581248403E-3,
,,,-495.499998331E-3,95.537498593E-3,
,,,-495.400011539E-3,95.534369349E-3,
,,,-495.299994946E-3,95.550000668E-3,
,,,-495.200008154E-3,95.515623689E-3,
,,,-495.099991560E-3,95.493748784E-3,
,,,-495.000004768E-3,95.490619540E-3,
,,,-494.899988174E-3,95.484375954E-3,
,,,-494.800001383E-3,95.474995673E-3,
,,,-494.700014591E-3,95.449998975E-3,
,,,-494.599997997E-3,95.456250012E-3,
,,,-494.500011206E-3,95.446869731E-3,
,,,-494.399994612E-3,95.412500203E-3,
,,,-494.300007820E-3,95.399998128E-3,
,,,-494.199991226E-3,95.387496054E-3,
,,,-494.100004435E-3,95.340624452E-3,
,,,-493.999987841E-3,95.359370112E-3,
,,,-493.900001049E-3,95.334373415E-3,
,,,-493.800014257E-3,95.353119075E-3,
,,,-493.699997663E-3,95.306247473E-3,
,,,-493.600010872E-3,95.293745399E-3,
,,,-493.499994278E-3,95.284372568E-3,
,,,-493.400007486E-3,95.224998891E-3,
,,,-493.299990892E-3,95.246873796E-3,
,,,-493.200004101E-3,95.212496817E-3,
,,,-493.099987507E-3,95.212496817E-3,
,,,-493.000000715E-3,95.196872950E-3,
,,,-492.900013924E-3,95.171876252E-3,
,,,-492.799997330E-3,95.196872950E-3,
,,,-492.700010538E-3,95.174998045E-3,
,,,-492.599993944E-3,95.165625215E-3,
,,,-492.500007153E-3,95.146872103E-3,
,,,-492.399990559E-3,95.124997199E-3,
,,,-492.300003767E-3,95.087498426E-3,
,,,-492.199987173E-3,95.124997199E-3,
,,,-492.100000381E-3,95.096871257E-3,
,,,-492.000013590E-3,95.124997199E-3,
,,,-491.899996996E-3,95.115624368E-3,
,,,-491.800010204E-3,95.081247389E-3,
,,,-491.699993610E-3,95.062494278E-3,
,,,-491.600006819E-3,95.015622675E-3,
,,,-491.499990225E-3,95.028124750E-3,
